,0,1
0,0,['呼啦圈']
1,1,['蜡烛']
2,2,['天鹅']
3,3,['耳朵']
4,4,['旗子']
5,5,['钩子']
6,6,['汤勺']
7,7,['镰刀']
8,8,['葫芦']
9,9,['哨子']
10,10,['石头']
11,11,['梯子']
12,12,['椅儿']
13,13,['医生']
14,14,['钥匙']
15,15,['鹦鹉']
16,16,['石榴']
17,17,['仪器']
18,18,['糖葫芦']
19,19,['狮鹫']
20,20,['恶灵']
21,21,['鳄鱼']
22,22,['三三娘']
23,23,['和尚']
24,24,['闹钟']
25,25,['二胡']
26,26,['河流']
27,27,['耳机']
28,28,['恶霸']
29,29,['二球']
30,30,['三轮车']
31,31,['鲨鱼']
32,32,['扇儿']
33,33,['三三娘']
34,34,['三尸']
35,35,['珊瑚']
36,36,['山路']
37,37,['山鸡王']
38,38,['妇女']
39,39,['山丘']
40,40,['司令']
